timestamp,power_source,cpu_percent,battery_percent,temperature,wifi_active,caffeinate_running
2026-03-29 07:58:23,adapter,56.0,98,N/A,0,1
2026-03-29 08:03:23,adapter,43.1,99,N/A,0,1
2026-03-29 08:08:23,adapter,33.4,100,N/A,0,1
2026-03-29 08:13:24,adapter,36.6,100,N/A,0,1
2026-03-29 08:18:24,adapter,2.5,100,N/A,0,1
2026-03-29 08:23:24,adapter,22.1,100,N/A,0,1
2026-03-29 08:28:25,adapter,68.9,100,N/A,0,1
2026-03-29 08:33:25,adapter,93.6,100,N/A,0,1
2026-03-29 08:38:25,adapter,3.0,100,N/A,0,1
2026-03-29 08:43:25,adapter,0.5,100,N/A,0,1
2026-03-29 08:48:25,adapter,0.6,100,N/A,0,1
2026-03-29 08:53:26,adapter,34.2,100,N/A,0,1
2026-03-29 08:58:26,adapter,10.2,100,N/A,0,1
2026-03-29 09:03:26,adapter,1.2,100,N/A,0,1
2026-03-29 09:08:27,adapter,73.8,100,N/A,0,1
2026-03-29 09:13:27,adapter,0.6,100,N/A,0,1
2026-03-29 09:18:27,adapter,39.4,100,N/A,0,1
2026-03-29 09:23:27,adapter,42.8,100,N/A,0,1
2026-03-29 09:28:28,adapter,1.2,100,N/A,0,1
2026-03-29 09:33:30,adapter,0.6,100,N/A,0,1
2026-03-29 09:38:30,adapter,2.5,100,N/A,0,1
2026-03-29 09:43:31,adapter,1.5,100,N/A,0,1
2026-03-29 09:48:31,adapter,20.6,100,N/A,0,1
2026-03-29 09:53:31,adapter,25.9,100,N/A,0,1
2026-03-29 09:58:31,adapter,35.8,100,N/A,0,1
2026-03-29 10:03:32,adapter,1.2,100,N/A,0,1
2026-03-29 10:08:32,adapter,1.2,100,N/A,0,1
2026-03-29 10:13:32,adapter,37.7,100,N/A,0,1
2026-03-29 10:18:33,adapter,0.6,100,N/A,0,1
2026-03-29 10:23:33,adapter,40.7,100,N/A,0,1
2026-03-29 10:28:33,adapter,1.7,100,N/A,0,1
2026-03-29 10:33:33,adapter,31.9,100,N/A,0,1
2026-03-29 10:38:34,adapter,0.7,100,N/A,0,1
2026-03-29 10:43:34,adapter,2.3,100,N/A,0,1
2026-03-29 10:48:34,adapter,1.8,100,N/A,0,1
2026-03-29 10:53:35,adapter,1.8,100,N/A,0,1
2026-03-29 10:58:35,adapter,2.4,100,N/A,0,1
2026-03-29 11:03:35,adapter,2.5,100,N/A,0,1
2026-03-29 11:08:35,adapter,1.6,100,N/A,0,1
2026-03-29 11:13:36,adapter,0.9,100,N/A,0,1
2026-03-29 11:18:36,adapter,35.1,100,N/A,0,1
2026-03-29 11:23:36,adapter,23.8,100,N/A,0,1
2026-03-29 11:28:37,adapter,3.3,100,N/A,0,1
2026-03-29 11:33:37,adapter,0.3,100,N/A,0,1
2026-03-29 11:38:37,adapter,36.2,100,N/A,0,1
2026-03-29 11:43:37,adapter,0.5,100,N/A,0,1
2026-03-29 11:48:38,adapter,1.8,100,N/A,0,1
2026-03-29 11:53:38,adapter,67.5,100,N/A,0,1
2026-03-29 11:58:38,adapter,23.6,100,N/A,0,1
2026-03-29 12:03:38,adapter,2.5,100,N/A,0,1
2026-03-29 12:08:39,adapter,1.4,100,N/A,0,1
2026-03-29 12:13:39,adapter,0.4,100,N/A,0,1
2026-03-29 12:18:39,adapter,0.7,100,N/A,0,1
2026-03-29 12:23:39,adapter,44.7,100,N/A,0,1
2026-03-29 12:28:39,adapter,1.2,100,N/A,0,1
2026-03-29 12:33:40,adapter,1.3,100,N/A,0,1
2026-03-29 12:38:40,adapter,26.6,100,N/A,0,1
2026-03-29 12:43:40,adapter,66.1,100,N/A,0,1
2026-03-29 12:48:41,adapter,0.2,100,N/A,0,1
2026-03-29 12:53:41,adapter,40.9,100,N/A,0,1
2026-03-29 12:58:41,adapter,1.5,100,N/A,0,1
2026-03-29 13:03:41,adapter,32.3,100,N/A,0,1
2026-03-29 13:08:42,adapter,1.2,100,N/A,0,1
2026-03-29 13:13:42,adapter,46.0,100,N/A,0,1
2026-03-29 13:18:42,adapter,2.0,100,N/A,0,1
2026-03-29 13:23:42,adapter,0.4,100,N/A,0,1
2026-03-29 13:28:43,adapter,0.5,100,N/A,0,1
2026-03-29 13:33:43,adapter,36.4,100,N/A,0,1
2026-03-29 13:38:43,adapter,1.6,100,N/A,0,1
2026-03-29 13:43:43,adapter,34.0,100,N/A,0,1
2026-03-29 13:48:44,adapter,1.8,100,N/A,0,1
2026-03-29 13:53:44,adapter,43.0,100,N/A,0,1
2026-03-29 13:58:44,adapter,0.5,100,N/A,0,1
2026-03-29 14:03:45,adapter,33.0,100,N/A,0,1
2026-03-29 14:08:45,adapter,2.9,100,N/A,0,1
2026-03-29 14:13:45,adapter,32.8,100,N/A,0,1
2026-03-29 14:18:45,adapter,0.5,100,N/A,0,1
2026-03-29 14:23:45,adapter,31.3,100,N/A,0,1
2026-03-29 14:28:46,adapter,36.7,100,N/A,0,1
2026-03-29 14:33:46,adapter,39.4,100,N/A,0,1
2026-03-29 14:38:46,adapter,0.5,100,N/A,0,1
2026-03-29 14:43:47,adapter,0.4,100,N/A,0,1
2026-03-29 14:48:47,adapter,35.2,100,N/A,0,1
2026-03-29 14:53:47,adapter,1.4,100,N/A,0,1
2026-03-29 14:58:47,adapter,46.6,100,N/A,0,1
2026-03-29 15:03:48,adapter,4.9,100,N/A,0,1
2026-03-29 15:08:48,adapter,1.3,100,N/A,0,1
2026-03-29 15:13:48,adapter,38.9,100,N/A,0,1
2026-03-29 15:18:49,adapter,0.7,100,N/A,0,1
2026-03-29 15:23:49,adapter,1.1,100,N/A,0,1
2026-03-29 15:28:49,adapter,44.5,100,N/A,0,1
2026-03-29 15:33:49,adapter,0.4,100,N/A,0,1
2026-03-29 15:38:50,adapter,35.5,100,N/A,0,1
2026-03-29 15:43:50,adapter,2.6,100,N/A,0,1
2026-03-29 15:48:50,adapter,21.1,100,N/A,0,1
2026-03-29 15:53:50,adapter,9.7,100,N/A,0,1
2026-03-30 07:44:24,adapter,0.7,100,N/A,0,1
2026-03-30 07:49:24,adapter,98.4,100,N/A,0,1
2026-03-30 07:54:24,adapter,0.0,100,N/A,0,1
2026-03-30 07:59:24,adapter,31.8,100,N/A,0,1
2026-03-30 08:04:25,adapter,26.1,100,N/A,0,1
2026-03-30 08:09:25,adapter,41.7,100,N/A,0,1
2026-03-30 08:14:26,adapter,65.6,100,N/A,0,1
2026-03-30 08:19:26,adapter,0.1,100,N/A,0,1
2026-03-30 08:24:26,adapter,0.1,100,N/A,0,1
2026-03-30 08:29:26,adapter,0.0,100,N/A,0,1
2026-03-30 08:34:27,adapter,3.9,100,N/A,0,1
